,id,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfmscore,tier
783,4290,8,3,24,4,1,1,411,rookies
785,4211,5,5,57,4,1,1,411,rookies
811,5585,1,5,48,4,1,1,411,rookies
829,6646,23,4,22,4,1,1,411,rookies
833,11003,10,5,50,4,1,1,411,rookies
856,4877,2,4,41,4,1,1,411,rookies
881,9653,16,5,68,4,1,1,411,rookies
962,3547,12,5,64,4,1,1,411,rookies
981,3955,20,0,6,4,1,1,411,rookies
989,453,1,5,45,4,1,1,411,rookies
1018,3158,1,4,39,4,1,1,411,rookies
1028,10175,0,4,22,4,1,1,411,rookies
1044,6287,2,3,36,4,1,1,411,rookies
1051,9725,16,3,12,4,1,1,411,rookies
1053,5740,1,3,56,4,1,1,411,rookies
1065,4415,19,4,38,4,1,1,411,rookies
1077,577,10,4,22,4,1,1,411,rookies
1086,10914,3,4,17,4,1,1,411,rookies
1106,6271,13,5,63,4,1,1,411,rookies
1116,3885,10,3,63,4,1,1,411,rookies
1176,5907,24,3,18,4,1,1,411,rookies
1184,9392,17,3,17,4,1,1,411,rookies
1189,5231,15,4,51,4,1,1,411,rookies
1207,3068,1,5,43,4,1,1,411,rookies
1240,11086,18,4,21,4,1,1,411,rookies
1258,5493,21,3,23,4,1,1,411,rookies
1276,2296,4,3,30,4,1,1,411,rookies
1290,4808,12,3,17,4,1,1,411,rookies
1294,2811,21,5,62,4,1,1,411,rookies
1299,10641,5,5,57,4,1,1,411,rookies
1338,2173,23,4,32,4,1,1,411,rookies
1352,8369,21,2,28,4,1,1,411,rookies
1361,1384,10,4,62,4,1,1,411,rookies
1377,6770,5,4,68,4,1,1,411,rookies
1384,793,24,5,45,4,1,1,411,rookies
1387,8702,10,4,22,4,1,1,411,rookies
1392,10146,17,4,42,4,1,1,411,rookies
1394,2587,21,5,20,4,1,1,411,rookies
1420,5824,1,3,8,4,1,1,411,rookies
1437,2518,16,2,30,4,1,1,411,rookies
1441,1183,11,3,22,4,1,1,411,rookies
1464,5074,10,4,47,4,1,1,411,rookies
1468,7196,20,3,13,4,1,1,411,rookies
1523,10795,14,5,48,4,1,1,411,rookies
1562,9530,16,3,17,4,1,1,411,rookies
1614,6215,24,3,31,4,1,1,411,rookies
1638,10785,17,5,41,4,1,1,411,rookies
1639,2814,6,4,31,4,1,1,411,rookies
1645,10141,1,3,20,4,1,1,411,rookies
1698,10356,5,4,32,4,1,1,411,rookies
1725,2634,10,5,69,4,1,1,411,rookies
1739,1064,18,4,42,4,1,1,411,rookies
1752,3878,3,4,48,4,1,1,411,rookies
1766,10560,23,4,20,4,1,1,411,rookies
1791,9150,21,5,62,4,1,1,411,rookies
1819,8566,10,3,9,4,1,1,411,rookies
1847,10595,19,5,69,4,1,1,411,rookies
1861,10241,16,3,14,4,1,1,411,rookies
1875,9612,3,4,43,4,1,1,411,rookies
1881,8341,22,3,34,4,1,1,411,rookies
1886,7505,24,3,46,4,1,1,411,rookies
1900,10789,13,5,68,4,1,1,411,rookies
1901,10779,16,4,49,4,1,1,411,rookies
1925,3112,2,4,24,4,1,1,411,rookies
1978,9289,16,4,63,4,1,1,411,rookies
1985,8619,4,3,22,4,1,1,411,rookies
2016,7042,14,4,66,4,1,1,411,rookies
2026,4198,6,3,25,4,1,1,411,rookies
2042,8416,19,5,44,4,1,1,411,rookies
2088,6507,16,5,56,4,1,1,411,rookies
2102,1241,1,4,51,4,1,1,411,rookies
2105,1407,5,5,57,4,1,1,411,rookies
2116,87,16,5,57,4,1,1,411,rookies
2146,1818,23,4,38,4,1,1,411,rookies
2154,2711,6,4,31,4,1,1,411,rookies
2157,1515,9,4,28,4,1,1,411,rookies
2164,7600,13,4,29,4,1,1,411,rookies
2183,11187,23,5,69,4,1,1,411,rookies
2184,8207,18,4,40,4,1,1,411,rookies
2192,7990,2,3,17,4,1,1,411,rookies
2212,6983,24,5,45,4,1,1,411,rookies
2214,9303,12,1,32,4,1,1,411,rookies
2222,10659,7,5,53,4,1,1,411,rookies
2229,10084,9,4,50,4,1,1,411,rookies
2,4141,26,18,776,3,4,3,343,loyals
5,7446,16,16,716,4,4,3,443,loyals
18,6565,91,20,1782,1,4,4,144,loyals
23,4047,0,15,544,4,4,3,443,loyals
29,1966,96,16,1672,1,4,4,144,loyals
36,4339,37,17,913,3,4,3,343,loyals
49,6566,39,17,1319,3,4,4,344,loyals
55,6260,55,16,1957,2,4,4,244,loyals
56,10383,30,15,1093,3,4,4,344,loyals
61,3076,18,16,612,4,4,3,443,loyals
62,1012,26,18,884,3,4,3,343,loyals
63,6518,8,15,606,4,4,3,443,loyals
68,4477,4,15,653,4,4,3,443,loyals
72,6312,29,23,863,3,4,3,343,loyals
73,8132,88,17,661,1,4,3,143,loyals
79,1618,9,18,692,4,4,3,443,loyals
84,535,18,16,778,4,4,3,443,loyals
98,4646,44,17,978,3,4,3,343,loyals
102,4518,59,20,1169,2,4,4,244,loyals
107,2683,56,18,910,2,4,3,243,loyals
110,5077,46,17,969,3,4,3,343,loyals
112,3267,27,16,608,3,4,3,343,loyals
113,999,95,17,730,1,4,3,143,loyals
120,9805,65,16,660,2,4,3,243,loyals
124,7215,69,19,1135,2,4,4,244,loyals
129,11051,72,16,661,2,4,3,243,loyals
131,433,42,17,632,3,4,3,343,loyals
132,9597,10,16,725,4,4,3,443,loyals
140,821,46,17,2077,3,4,4,344,loyals
142,8690,73,15,1385,2,4,4,244,loyals
143,2937,47,17,871,3,4,3,343,loyals
154,7055,57,19,1021,2,4,3,243,loyals
175,8717,56,19,1835,2,4,4,244,loyals
179,6935,44,17,978,3,4,3,343,loyals
182,10562,21,19,1033,4,4,3,443,loyals
187,3934,34,15,608,3,4,3,343,loyals
191,5602,98,20,1282,1,4,4,144,loyals
196,6999,80,19,834,1,4,3,143,loyals
200,7300,50,15,535,2,4,3,243,loyals
202,8727,63,20,1150,2,4,4,244,loyals
203,2798,54,17,1240,2,4,4,244,loyals
213,2877,21,15,541,4,4,3,443,loyals
219,454,48,22,1135,3,4,4,344,loyals
222,4785,3,17,714,4,4,3,443,loyals
224,7079,38,21,1245,3,4,4,344,loyals
234,3233,89,18,1117,1,4,4,144,loyals
237,9449,32,16,605,3,4,3,343,loyals
240,313,98,16,2088,1,4,4,144,loyals
244,6439,37,19,1102,3,4,4,344,loyals
247,9265,74,15,1390,2,4,4,244,loyals
249,8932,57,15,1531,2,4,4,244,loyals
254,10992,77,15,1148,1,4,4,144,loyals
261,1184,46,20,845,3,4,3,343,loyals
275,2304,86,18,770,1,4,3,143,loyals
276,3445,56,17,957,2,4,3,243,loyals
279,4391,64,18,908,2,4,3,243,loyals
286,10983,17,19,930,4,4,3,443,loyals
287,8148,88,18,859,1,4,3,143,loyals
299,3924,34,20,916,3,4,3,343,loyals
301,5596,44,18,728,3,4,3,343,loyals
305,9274,44,15,1213,3,4,4,344,loyals
313,6320,42,16,1508,3,4,4,344,loyals
320,1802,23,15,680,4,4,3,443,loyals
323,9750,41,15,1307,3,4,4,344,loyals
324,2607,78,16,630,1,4,3,143,loyals
335,10151,38,16,946,3,4,3,343,loyals
340,10172,95,15,1538,1,4,4,144,loyals
342,9707,65,15,1182,2,4,4,244,loyals
350,2579,95,15,835,1,4,3,143,loyals
351,175,93,16,1443,1,4,4,144,loyals
354,9365,57,16,1277,2,4,4,244,loyals
361,9336,38,16,636,3,4,3,343,loyals
365,10704,65,15,693,2,4,3,243,loyals
366,5125,64,15,1348,2,4,4,244,loyals
373,1245,45,16,1371,3,4,4,344,loyals
387,6202,78,17,1005,1,4,3,143,loyals
394,7683,80,17,787,1,4,3,143,loyals
401,9999,2,18,1040,4,4,3,443,loyals
409,9973,28,15,490,3,4,3,343,loyals
418,4216,33,16,1474,3,4,4,344,loyals
419,8581,4,18,751,4,4,3,443,loyals
426,1340,42,19,1795,3,4,4,344,loyals
429,3767,1,17,1008,4,4,3,443,loyals
431,4324,42,15,684,3,4,3,343,loyals
432,238,76,18,1082,1,4,4,144,loyals
433,6694,27,21,1068,3,4,4,344,loyals
436,9699,12,18,733,4,4,3,443,loyals
450,2276,71,15,868,2,4,3,243,loyals
451,2807,24,15,1001,4,4,3,443,loyals
454,6233,21,19,971,4,4,3,443,loyals
456,4947,44,16,2059,3,4,4,344,loyals
468,9697,86,15,542,1,4,3,143,loyals
469,3916,92,19,890,1,4,3,143,loyals
470,2021,47,19,1388,3,4,4,344,loyals
472,564,81,17,906,1,4,3,143,loyals
475,178,40,19,973,3,4,3,343,loyals
477,5512,19,15,518,4,4,3,443,loyals
485,2426,35,18,895,3,4,3,343,loyals
487,5562,92,17,735,1,4,3,143,loyals
492,10965,72,16,1722,2,4,4,244,loyals
494,6605,85,15,682,1,4,3,143,loyals
495,3136,88,16,663,1,4,3,143,loyals
498,716,63,17,976,2,4,3,243,loyals
499,466,9,17,746,4,4,3,443,loyals
503,5140,66,16,1445,2,4,4,244,loyals
505,4945,29,22,1210,3,4,4,344,loyals
509,8939,49,17,730,3,4,3,343,loyals
511,4320,6,18,943,4,4,3,443,loyals
554,9504,4,16,1008,4,4,3,443,loyals
556,448,57,17,795,2,4,3,243,loyals
562,9780,12,21,795,4,4,3,443,loyals
563,10681,13,18,889,4,4,3,443,loyals
601,2453,83,17,819,1,4,3,143,loyals
603,895,69,15,594,2,4,3,243,loyals
614,10299,73,19,882,2,4,3,243,loyals
626,10156,56,15,1237,2,4,4,244,loyals
627,4299,28,16,1825,3,4,4,344,loyals
630,10727,43,20,1586,3,4,4,344,loyals
632,5156,13,18,889,4,4,3,443,loyals
636,6945,72,20,1375,2,4,4,244,loyals
638,1907,53,17,1477,2,4,4,244,loyals
640,3856,78,17,1005,1,4,3,143,loyals
642,2131,37,15,1307,3,4,4,344,loyals
646,4611,36,22,1724,3,4,4,344,loyals
648,4679,42,19,1092,3,4,4,344,loyals
652,6661,63,21,1174,2,4,4,244,loyals
658,3867,36,22,1095,3,4,4,344,loyals
660,55,83,16,597,1,4,3,143,loyals
662,5084,87,19,1064,1,4,4,144,loyals
670,9153,81,17,1048,1,4,3,143,loyals
679,9596,19,16,664,4,4,3,443,loyals
681,4910,81,24,2074,1,4,4,144,loyals
685,10142,99,16,689,1,4,3,143,loyals
686,9826,96,15,2114,1,4,4,144,loyals
688,10767,40,15,1346,3,4,4,344,loyals
699,1277,29,20,1004,3,4,3,343,loyals
701,10196,26,16,614,3,4,3,343,loyals
702,6384,30,16,1453,3,4,4,344,loyals
705,6988,93,16,1443,1,4,4,144,loyals
707,6991,88,15,637,1,4,3,143,loyals
711,1272,49,17,903,3,4,3,343,loyals
718,10159,77,20,1185,1,4,4,144,loyals
721,4990,90,19,869,1,4,3,143,loyals
726,6086,62,18,1380,2,4,4,244,loyals
729,11101,17,19,836,4,4,3,443,loyals
735,7875,46,17,1677,3,4,4,344,loyals
745,3560,57,15,1574,2,4,4,244,loyals
747,10548,30,15,960,3,4,3,343,loyals
752,7094,87,19,1064,1,4,4,144,loyals
755,3870,28,20,1006,3,4,3,343,loyals
761,6887,33,16,564,3,4,3,343,loyals
770,10582,3,17,758,4,4,3,443,loyals
788,10846,22,15,629,4,4,3,443,loyals
796,6722,98,17,767,1,4,3,143,loyals
798,3749,54,18,1580,2,4,4,244,loyals
814,6303,72,17,1497,2,4,4,244,loyals
818,3900,54,18,769,2,4,3,243,loyals
825,5989,51,21,1576,2,4,4,244,loyals
835,9904,50,18,1043,2,4,3,243,loyals
837,5687,98,19,1633,1,4,4,144,loyals
847,5935,60,15,764,2,4,3,243,loyals
851,9477,0,15,544,4,4,3,443,loyals
852,4856,38,17,1853,3,4,4,344,loyals
855,1456,25,22,1180,3,4,4,344,loyals
857,425,66,17,727,2,4,3,243,loyals
874,7631,34,15,989,3,4,3,343,loyals
884,5830,96,15,2114,1,4,4,144,loyals
885,4597,67,16,2018,2,4,4,244,loyals
897,5046,97,17,1638,1,4,4,144,loyals
919,4637,73,15,1650,2,4,4,244,loyals
924,8931,82,21,1761,1,4,4,144,loyals
930,5303,42,15,1113,3,4,4,344,loyals
932,7922,29,21,966,3,4,3,343,loyals
937,1204,45,22,1829,3,4,4,344,loyals
938,3673,59,18,779,2,4,3,243,loyals
939,760,8,17,811,4,4,3,443,loyals
960,4640,65,17,1079,2,4,4,244,loyals
965,7801,87,16,728,1,4,3,143,loyals
966,10489,35,15,1778,3,4,4,344,loyals
969,3933,46,16,662,3,4,3,343,loyals
974,9209,85,17,1564,1,4,4,144,loyals
975,10286,2,15,926,4,4,3,443,loyals
979,5407,70,17,1085,2,4,4,244,loyals
983,3056,63,20,1150,2,4,4,244,loyals
987,4580,46,18,2486,3,4,4,344,loyals
988,9305,65,17,1315,2,4,4,244,loyals
992,7378,34,16,573,3,4,3,343,loyals
993,7646,70,17,805,2,4,3,243,loyals
996,8492,25,18,1493,3,4,4,344,loyals
1000,10473,38,15,528,3,4,3,343,loyals
1006,8952,96,16,859,1,4,3,143,loyals
1007,241,57,15,1574,2,4,4,244,loyals
1010,5236,30,18,2194,3,4,4,344,loyals
1022,6059,81,15,1314,1,4,4,144,loyals
1029,8985,54,20,1211,2,4,4,244,loyals
1049,966,98,17,691,1,4,3,143,loyals
1052,4475,82,16,2440,1,4,4,144,loyals
1055,7290,68,15,968,2,4,3,243,loyals
1061,3759,34,18,1155,3,4,4,344,loyals
1062,1162,23,16,653,4,4,3,443,loyals
1067,2223,52,16,1826,2,4,4,244,loyals
1069,2875,93,16,906,1,4,3,143,loyals
1072,3807,83,18,766,1,4,3,143,loyals
1076,4207,27,17,1298,3,4,4,344,loyals
1085,6295,46,16,981,3,4,3,343,loyals
1099,6001,62,15,937,2,4,3,243,loyals
1105,146,78,15,1323,1,4,4,144,loyals
1108,4741,17,15,562,4,4,3,443,loyals
1119,2320,98,17,635,1,4,3,143,loyals
1120,850,4,15,757,4,4,3,443,loyals
1129,4756,42,18,1168,3,4,4,344,loyals
1133,2975,89,15,1956,1,4,4,144,loyals
1134,2894,74,15,2013,2,4,4,244,loyals
1140,849,65,16,660,2,4,3,243,loyals
1144,819,84,19,1103,1,4,4,144,loyals
1147,5430,0,17,684,4,4,3,443,loyals
1150,1453,59,22,1060,2,4,4,244,loyals
1151,8310,96,17,1459,1,4,4,144,loyals
1159,640,61,17,1026,2,4,3,243,loyals
1161,8432,0,17,684,4,4,3,443,loyals
1162,6218,74,15,499,2,4,3,243,loyals
1163,6905,55,16,1004,2,4,3,243,loyals
1165,3598,53,16,606,2,4,3,243,loyals
1187,9855,25,19,1020,3,4,3,343,loyals
1191,8732,81,17,1461,1,4,4,144,loyals
1195,6283,64,18,908,2,4,3,243,loyals
1201,9500,66,17,758,2,4,3,243,loyals
1205,1118,87,15,685,1,4,3,143,loyals
1206,7789,96,16,1672,1,4,4,144,loyals
1226,4058,76,19,811,1,4,3,143,loyals
1235,843,47,19,805,3,4,3,343,loyals
1237,9757,98,17,1631,1,4,4,144,loyals
1249,10833,55,21,973,2,4,3,243,loyals
1251,8534,51,19,992,2,4,3,243,loyals
1252,5153,97,22,1529,1,4,4,144,loyals
1257,810,49,15,641,3,4,3,343,loyals
1259,2147,91,15,2279,1,4,4,144,loyals
1262,6049,85,18,1804,1,4,4,144,loyals
1266,5207,41,15,793,3,4,3,343,loyals
1271,7488,30,18,825,3,4,3,343,loyals
1273,635,51,16,610,2,4,3,243,loyals
1278,2931,95,15,1192,1,4,4,144,loyals
1281,9516,90,19,1229,1,4,4,144,loyals
1288,9010,80,15,2346,1,4,4,144,loyals
1289,378,68,17,794,2,4,3,243,loyals
1297,5543,49,18,802,3,4,3,343,loyals
1305,5841,61,18,832,2,4,3,243,loyals
1307,4394,43,17,1501,3,4,4,344,loyals
1309,6658,37,23,1194,3,4,4,344,loyals
1310,4603,50,15,656,2,4,3,243,loyals
1311,8427,78,17,1540,1,4,4,144,loyals
1322,9206,36,17,1121,3,4,4,344,loyals
1333,5147,57,17,1424,2,4,4,244,loyals
1348,7793,12,17,800,4,4,3,443,loyals
1355,3834,35,19,861,3,4,3,343,loyals
1357,7712,68,16,634,2,4,3,243,loyals
1363,6181,36,19,939,3,4,3,343,loyals
1374,4743,72,19,971,2,4,3,243,loyals
1395,4405,2,18,789,4,4,3,443,loyals
1398,3421,64,18,908,2,4,3,243,loyals
1401,9958,54,18,769,2,4,3,243,loyals
1404,6613,39,16,727,3,4,3,343,loyals
1407,8402,40,15,794,3,4,3,343,loyals
1410,618,17,19,797,4,4,3,443,loyals
1422,2561,45,16,1371,3,4,4,344,loyals
1432,9349,84,17,1131,1,4,4,144,loyals
1444,1553,71,17,2283,2,4,4,244,loyals
1447,5221,93,15,879,1,4,3,143,loyals
1466,4690,45,16,586,3,4,3,343,loyals
1467,7521,57,15,1574,2,4,4,244,loyals
1469,4406,29,17,1471,3,4,4,344,loyals
1476,217,78,17,1540,1,4,4,144,loyals
1479,9559,79,20,1034,1,4,3,143,loyals
1480,2849,25,22,1180,3,4,4,344,loyals
1481,7787,83,17,819,1,4,3,143,loyals
1485,9988,84,19,860,1,4,3,143,loyals
1488,9743,85,19,1910,1,4,4,144,loyals
1490,3478,17,16,736,4,4,3,443,loyals
1492,1763,62,17,2524,2,4,4,244,loyals
1493,7250,48,16,612,3,4,3,343,loyals
1495,10770,73,17,1045,2,4,3,243,loyals
1499,6318,48,22,1366,3,4,4,344,loyals
1503,3594,74,17,747,2,4,3,243,loyals
1506,851,48,15,642,3,4,3,343,loyals
1507,7706,88,16,1048,1,4,3,143,loyals
1508,3967,19,15,943,4,4,3,443,loyals
1509,10128,21,17,907,4,4,3,443,loyals
1512,9451,92,19,1658,1,4,4,144,loyals
1516,1490,84,18,854,1,4,3,143,loyals
1520,4278,73,16,1923,2,4,4,244,loyals
1525,2408,20,16,733,4,4,3,443,loyals
1530,6050,33,19,1513,3,4,4,344,loyals
1532,3463,41,20,904,3,4,3,343,loyals
1541,3852,48,21,964,3,4,3,343,loyals
1542,528,99,15,1383,1,4,4,144,loyals
1544,5589,95,19,793,1,4,3,143,loyals
1548,591,76,15,677,1,4,3,143,loyals
1554,5462,63,21,1174,2,4,4,244,loyals
1559,2793,10,20,1034,4,4,3,443,loyals
1566,7476,93,15,1269,1,4,4,144,loyals
1567,4390,14,17,841,4,4,3,443,loyals
1568,10478,53,17,633,2,4,3,243,loyals
1584,4608,18,16,778,4,4,3,443,loyals
1589,2612,33,19,1682,3,4,4,344,loyals
1601,5453,26,16,2352,3,4,4,344,loyals
1606,8969,59,16,1141,2,4,4,244,loyals
1610,6729,95,15,1538,1,4,4,144,loyals
1615,10099,21,18,882,4,4,3,443,loyals
1619,3298,92,18,1152,1,4,4,144,loyals
1630,3859,36,22,1095,3,4,4,344,loyals
1635,3427,11,18,734,4,4,3,443,loyals
1636,5209,21,15,638,4,4,3,443,loyals
1637,10711,23,15,894,4,4,3,443,loyals
1642,6575,51,16,612,2,4,3,243,loyals
1644,3091,27,15,823,3,4,3,343,loyals
1647,7005,71,17,813,2,4,3,243,loyals
1651,8395,48,15,1511,3,4,4,344,loyals
1657,2295,57,18,825,2,4,3,243,loyals
1662,6457,77,18,902,1,4,3,143,loyals
1666,6912,60,18,772,2,4,3,243,loyals
1668,5299,43,20,1586,3,4,4,344,loyals
1669,4127,97,22,1529,1,4,4,144,loyals
1674,3389,61,21,1533,2,4,4,244,loyals
1687,2570,35,17,815,3,4,3,343,loyals
1688,9256,5,20,1001,4,4,3,443,loyals
1690,7397,45,16,688,3,4,3,343,loyals
1695,550,87,16,708,1,4,3,143,loyals
1699,4676,86,17,1695,1,4,4,144,loyals
1700,8852,80,19,1080,1,4,4,144,loyals
1703,1958,85,17,660,1,4,3,143,loyals
1706,1351,25,20,1220,3,4,4,344,loyals
1708,7732,81,17,745,1,4,3,143,loyals
1711,7832,30,15,1526,3,4,4,344,loyals
1713,7396,92,17,1597,1,4,4,144,loyals
1719,3498,6,16,877,4,4,3,443,loyals
1721,1172,71,19,2034,2,4,4,244,loyals
1723,4686,28,19,1686,3,4,4,344,loyals
1728,1000,48,21,964,3,4,3,343,loyals
1729,3828,61,20,1327,2,4,4,244,loyals
1733,10129,35,15,1456,3,4,4,344,loyals
1734,2499,38,15,563,3,4,3,343,loyals
1736,7500,33,16,564,3,4,3,343,loyals
1737,5796,70,17,1125,2,4,4,244,loyals
1744,9710,80,18,792,1,4,3,143,loyals
1747,7881,21,19,1033,4,4,3,443,loyals
1748,5847,95,17,882,1,4,3,143,loyals
1760,2118,68,15,622,2,4,3,243,loyals
1763,2797,34,18,1073,3,4,4,344,loyals
1765,9167,72,21,976,2,4,3,243,loyals
1772,8895,68,15,968,2,4,3,243,loyals
1779,2681,1,15,461,4,4,3,443,loyals
1782,9645,98,19,1338,1,4,4,144,loyals
1783,10678,91,21,917,1,4,3,143,loyals
1789,6173,46,17,969,3,4,3,343,loyals
1792,7960,89,16,1382,1,4,4,144,loyals
1799,762,27,15,823,3,4,3,343,loyals
1800,2831,99,17,1179,1,4,4,144,loyals
1801,6977,87,23,1921,1,4,4,144,loyals
1805,9284,21,17,907,4,4,3,443,loyals
1806,6237,92,24,416,1,4,3,143,loyals
1816,5782,15,18,763,4,4,3,443,loyals
1823,9166,57,16,882,2,4,3,243,loyals
1824,1440,84,18,1149,1,4,4,144,loyals
1832,7129,72,19,929,2,4,3,243,loyals
1839,531,55,17,1662,2,4,4,244,loyals
1850,4427,56,17,1365,2,4,4,244,loyals
1854,10163,28,15,1323,3,4,4,344,loyals
1855,2886,70,20,1217,2,4,4,244,loyals
1859,521,42,15,581,3,4,3,343,loyals
1865,3678,13,15,656,4,4,3,443,loyals
1871,8602,97,18,1049,1,4,4,144,loyals
1873,6715,3,17,685,4,4,3,443,loyals
1876,3766,15,17,835,4,4,3,443,loyals
1878,1570,8,17,1039,4,4,3,443,loyals
1879,3426,89,18,1596,1,4,4,144,loyals
1883,6461,74,16,946,2,4,3,243,loyals
1888,10858,38,16,820,3,4,3,343,loyals
1893,6892,23,16,732,4,4,3,443,loyals
1898,4619,9,27,277,4,4,2,442,loyals
1910,5832,32,16,1263,3,4,4,344,loyals
1912,6417,85,17,1564,1,4,4,144,loyals
1921,3283,57,18,909,2,4,3,243,loyals
1923,4994,53,20,1735,2,4,4,244,loyals
1924,7966,48,22,1191,3,4,4,344,loyals
1926,10872,65,15,1182,2,4,4,244,loyals
1928,1867,42,15,1336,3,4,4,344,loyals
1929,1518,29,16,749,3,4,3,343,loyals
1934,6200,50,15,901,2,4,3,243,loyals
1937,6250,62,19,775,2,4,3,243,loyals
1943,10413,67,16,1089,2,4,4,244,loyals
1958,2109,60,16,1544,2,4,4,244,loyals
1960,8925,38,18,1012,3,4,3,343,loyals
1965,6203,58,18,1734,2,4,4,244,loyals
1966,7165,59,18,823,2,4,3,243,loyals
1967,3595,29,18,1138,3,4,4,344,loyals
1975,10311,0,25,359,4,4,2,442,loyals
1992,6248,47,20,2217,3,4,4,344,loyals
1995,6815,4,15,809,4,4,3,443,loyals
2006,3599,61,16,1464,2,4,4,244,loyals
2009,832,90,18,747,1,4,3,143,loyals
2012,500,79,16,1941,1,4,4,144,loyals
2013,1951,92,19,839,1,4,3,143,loyals
2014,3262,31,15,1655,3,4,4,344,loyals
2024,4837,57,21,1305,2,4,4,244,loyals
2028,9323,5,17,874,4,4,3,443,loyals
2030,3945,80,15,930,1,4,3,143,loyals
2031,3799,4,18,868,4,4,3,443,loyals
2033,3491,32,19,1260,3,4,4,344,loyals
2036,4786,94,22,1109,1,4,4,144,loyals
